ligand_name;best_affinity_kcal_mol;output_pdbqt;log_file;success;Smiles;original_index;error
ligand_1;;../data/docking/results\ligand_1_out.pdbqt;../data/docking/results\ligand_1_log.txt;False;CCN(CC)S(=O)(=O)c1ccccc1-c1ccc(C(=O)N[C@@H](CCCN=C(N)N)B2O[C@@H]3CC4CC(C4(C)C)[C@]3(C)O2)c(C)c1;1;
ligand_2;-9.448;../data/docking/results\ligand_2_out.pdbqt;../data/docking/results\ligand_2_log.txt;True;CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc(-c2ccc(C(=N)N)cc2)cc1;2;
ligand_3;-6.415;../data/docking/results\ligand_3_out.pdbqt;../data/docking/results\ligand_3_log.txt;True;CN(C(=O)C(Cc1ccc(CN)cc1)NS(=O)(=O)c1ccc2c(c1)CCCCC2)C1CCCC1;3;
ligand_4;-8.388;../data/docking/results\ligand_4_out.pdbqt;../data/docking/results\ligand_4_log.txt;True;Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1cc(Cl)ccc1CN;4;
ligand_6;-8.6;../data/docking/results\ligand_6_out.pdbqt;../data/docking/results\ligand_6_log.txt;True;Cc1ccc(NC(=O)CCc2ccccc2)c(=O)n1CC(=O)NCC1CCN(C(=N)N)CC1;6;
ligand_7;-7.34;../data/docking/results\ligand_7_out.pdbqt;../data/docking/results\ligand_7_log.txt;True;c1ccc(COc2ccc(CNc3ccncc3)cc2)cc1;7;
ligand_8;-7.969;../data/docking/results\ligand_8_out.pdbqt;../data/docking/results\ligand_8_log.txt;True;COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(C2CCN(N4CCOCC4=O)CC2)CC3)cc1;8;
ligand_9;-7.616;../data/docking/results\ligand_9_out.pdbqt;../data/docking/results\ligand_9_log.txt;True;CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NCCC(=O)O;9;
ligand_10;-9.687;../data/docking/results\ligand_10_out.pdbqt;../data/docking/results\ligand_10_log.txt;True;CNS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2c[nH]c3ccc(C(=N)N)cc23)cc1;10;
ligand_11;-9.247;../data/docking/results\ligand_11_out.pdbqt;../data/docking/results\ligand_11_log.txt;True;CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NCCc1ccccc1;11;
ligand_12;-8.31;../data/docking/results\ligand_12_out.pdbqt;../data/docking/results\ligand_12_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O;12;
