Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi
CHEMBL404605,,,163.22,0.0,1.55,17,CCc1ccc(NC(=N)N)cc1,Ki,'=',5770000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL815752,Inhibition against Trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1125001,1,Scientific Literature,J Med Chem,1990,,,,,5.77,2.2388241868442686
CHEMBL49958,,,423.47,0.0,3.77,14c,Cc1c(F)c(N(C)c2cccc(C(=N)N)c2)nc(N(C)c2cccc(C(=N)N)c2)c1F,Ki,'=',360.0,nM,6.44,,,UO_0000065,15.22,0.28,2.67,5.41,0,CHEMBL817573,Compound was tested for inhibition activity against bovine trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132209,1,Scientific Literature,J Med Chem,1999,,,,,360.0,6.44
CHEMBL421880,,,508.69,1.0,3.66,5,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](Cc3ccc(CN)cc3)C(=O)N(C)C3CCCC3)cccc12,Ki,'=',17100.0,nM,4.77,,,UO_0000065,9.37,0.18,1.11,4.98,0,CHEMBL817623,Binding affinity towards bovine trypsin was evaluated in vitro,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1130583,1,Scientific Literature,Bioorg Med Chem Lett,1998,,,,,17100.0,4.77
CHEMBL3349045,,,659.63,,,9a,COCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1,Ki,'=',0.67,nM,9.17,,,UO_0000065,13.91,,,,0,CHEMBL817620,Binding affinity against Trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1128727,1,Scientific Literature,J Med Chem,1995,,,,,0.67,9.17
CHEMBL357067,,,536.65,1.0,2.82,4,CCOC(=O)C1CCN(C(=O)C(Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,Ki,'=',8.4,nM,8.08,,,UO_0000065,15.05,0.29,5.26,5.66,0,CHEMBL819016,Inhibitory activity against bovine trypsin expressed as dissociation constant,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131451,1,Scientific Literature,J Med Chem,1998,,,,,0.0084,8.08
CHEMBL148317,,,677.91,2.0,5.34,6a,CC(C)c1cc(C(C)C)c(S(=O)(=O)NC(Cc2cccc(C(N)N)c2)C(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c(C(C)C)c1,Ki,'=',200.0,nM,6.7,,,UO_0000065,9.88,0.19,1.36,4.52,0,CHEMBL819016,Inhibitory activity against bovine trypsin expressed as dissociation constant,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131451,1,Scientific Literature,J Med Chem,1998,,,,,0.2,6.7
CHEMBL314585,,,515.68,1.0,4.74,10,CN(C(=O)[C@H](Cc1ccc(CN)cc1)NS(=O)(=O)c1ccc2cc3ccccc3cc2c1)C1CCCC1,Ki,'=',3300.0,nM,5.48,,,UO_0000065,10.63,0.2,0.74,5.93,0,CHEMBL817623,Binding affinity towards bovine trypsin was evaluated in vitro,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1130583,1,Scientific Literature,Bioorg Med Chem Lett,1998,,,,,3300.0,5.48
CHEMBL358918,,,386.5,0.0,4.25,4c,N=C(N)c1ccc(/C=C2/CCCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',100.0,nM,7.0,,,UO_0000065,18.11,0.33,2.75,5.99,0,CHEMBL815005,In vitro inhibition of bovine trypsin(Trp).,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132552,1,Scientific Literature,J Med Chem,1999,,,,,100.0,7.0
CHEMBL7758,,,519.67,1.0,4.38,22,CNc1ccc(C#CC[C@H](NS(=O)(=O)c2ccc3cc(OC)ccc3c2)C(=O)N(C)C2CCCC2)cc1,Ki,'>',30000.0,nM,,,,UO_0000065,,,,,0,CHEMBL817586,Inhibitory activity against bovine trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132084,1,Scientific Literature,Bioorg Med Chem Lett,1999,,,,,30.0,4.522878745280337
CHEMBL108458,,,469.57,0.0,1.51,19,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NC1CCc2nn(C)cc2C1,Ki,'=',807000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL815006,Inhibitory activity against Trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1136225,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,807.0,3.0931264652779293
