Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi
CHEMBL25073,,,513.6,1.0,4.83,8f,CCc1nc2c([N+](=O)[O-])c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,'=',5.0,nM,8.3,,,UO_0000065,16.16,0.3,3.47,5.64,0,CHEMBL817144,Tested in vitro for the selectivity against trypsin (Trp),B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135304,1,Scientific Literature,Bioorg Med Chem Lett,2002,,,,,5.0,8.3
CHEMBL418923,,,439.6,0.0,1.75,11,CCC(CC)N[C@@H](CC(=O)O)C(=O)N1CCCC[C@H]1CCOC1CCN(C(=N)N)CC1,Ki,'=',1400.0,nM,5.85,,,UO_0000065,13.32,0.26,4.1,4.44,0,CHEMBL817823,In vitro inhibition of human trypsin.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1135990,1,Scientific Literature,J Med Chem,2002,,,,,1400.0,5.85
CHEMBL3667909,,,483.52,0.0,4.3,BDBM158103,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccc(C(=O)O)cc1,Ki,'=',2.89,nM,8.54,,300464,UO_0000065,17.66,0.34,4.24,5.99,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,2.89,8.54
CHEMBL3667913,,,503.6,1.0,4.11,BDBM158107,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@H](C(=O)O)C1CCCCC1,Ki,'=',3.04,nM,8.52,,300468,UO_0000065,16.91,0.33,4.41,5.97,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,3.04,8.52
CHEMBL3672874,,,433.46,0.0,2.25,BDBM158133,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N1C[C@H]1C(=O)O,Ki,'=',0.96,nM,9.02,,300494,UO_0000065,20.8,0.41,6.77,6.75,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,0.96,9.02
CHEMBL3672883,,,505.61,1.0,4.5,BDBM158143,CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)NCCCCCC(=O)O,Ki,'=',8.01,nM,8.1,,300504,UO_0000065,16.01,0.32,3.6,5.68,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,8.01,8.1
CHEMBL3672885,,,483.52,0.0,4.3,BDBM158145,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccccc1C(=O)O,Ki,'=',3.65,nM,8.44,,300506,UO_0000065,17.45,0.34,4.14,5.92,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,3.65,8.44
CHEMBL3672886,,,499.52,0.0,4.0,BDBM158146,CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1cc(O)cc(C(=O)O)c1,Ki,'=',0.18,nM,9.74,,300507,UO_0000065,19.51,0.38,5.74,5.99,0,CHEMBL3705369,"Inhibition Assay: Using a 96 well plate (#3915, Costar), a test compound (25 μL) was mixed with 20 μM fluorescence enzyme substrate (Boc-Phe-Ser-Arg-AMC, 50 μL) mixed with 200 mM Tris-HCl buffer (pH 8.0), and human trypsin (Sigma, 25 μL) was added. Using a fluorescence plate reader fmax (Molecular Devices, Inc.), the reaction rate was measured from the time-course changes at excitation wavelength 355 nm and fluorescence wavelength 460 nm.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639122,37,BindingDB Patent Bioactivity Data,,2015,,,,,0.18,9.74
CHEMBL94563,,,364.41,0.0,1.78,7,N=C(N)c1cccc(NC(=O)CC2CC(c3cccc(C(=N)N)c3)=NO2)c1,Ki,'>',1200.0,nM,,,,UO_0000065,,,,,0,CHEMBL879096,The compound was evaluated for inhibitory activity against Trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129218,1,Scientific Literature,Bioorg Med Chem Lett,1997,,,,,1.2,5.920818753952375
CHEMBL355985,,,269.34,0.0,2.93,17 (table 3),NCc1ccc(C(=O)OCCCc2ccccc2)cc1,Ki,'=',500034534.98,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL858270,Inhibition of trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132536,1,Scientific Literature,J Med Chem,1999,,,,,0.301,0.3009999999973757
