feature_name;rank
MFP_145;1
fr_COO2;2
fr_ester;3
MFP_656;4
MFP_597;5
qed;6
MFP_826;7
MFP_1360;8
MFP_82;9
MFP_1952;10
fr_thiophene;11
MFP_140;12
MFP_1970;13
VSA_EState5;14
MFP_419;15
MFP_699;16
MFP_1760;17
MFP_1697;18
MFP_1840;19
MFP_675;20
MFP_1104;21
MFP_162;22
MFP_1385;23
VSA_EState3;24
MFP_1844;25
MFP_1928;26
SMR_VSA1;27
MFP_124;28
SlogP_VSA4;29
MFP_389;30
fr_amidine;31
MaxAbsPartialCharge;32
EState_VSA1;33
PEOE_VSA5;34
MFP_1624;35
MFP_117;36
MFP_1737;37
MFP_888;38
SMR_VSA6;39
PEOE_VSA14;40
MinPartialCharge;41
MFP_1;42
MFP_623;43
MFP_695;44
MFP_504;45
EState_VSA5;46
EState_VSA9;47
MFP_1171;48
MFP_1901;49
MFP_58;50
MFP_1057;51
MFP_1344;52
MFP_1446;53
SlogP_VSA11;54
fr_NH0;55
MFP_255;56
AvgIpc;57
EState_VSA3;58
MFP_1748;59
fr_furan;60
MFP_1589;61
fr_piperzine;62
fr_ArN;63
MaxPartialCharge;64
SMR_VSA10;65
MFP_197;66
SMR_VSA3;67
SMR_VSA2;68
MFP_310;69
MFP_1126;70
fr_C_O;71
PEOE_VSA8;72
EState_VSA10;73
MFP_505;74
MFP_1141;75
MFP_1468;76
PEOE_VSA11;77
BCUT2D_CHGHI;78
MFP_1147;79
BCUT2D_MWLOW;80
MaxEStateIndex;81
NumRotatableBonds;82
TPSA;83
MFP_736;84
BCUT2D_MRLOW;85
MFP_2020;86
MFP_866;87
MFP_87;88
MFP_1062;89
MFP_1290;90
SMR_VSA4;91
BCUT2D_LOGPHI;92
MFP_935;93
MFP_1934;94
fr_urea;95
VSA_EState7;96
MFP_1573;97
MFP_250;98
PEOE_VSA10;99
MFP_283;100
MFP_1875;101
MFP_1666;102
MFP_218;103
MFP_1277;104
MFP_1065;105
fr_aniline;106
MFP_981;107
MFP_1958;108
FpDensityMorgan3;109
EState_VSA7;110
MFP_739;111
MFP_1410;112
MFP_79;113
MFP_875;114
MFP_638;115
MFP_1522;116
MFP_1009;117
MFP_2016;118
MFP_333;119
SlogP_VSA12;120
EState_VSA2;121
MFP_1452;122
MFP_114;123
fr_pyridine;124
MFP_378;125
MFP_1305;126
MFP_919;127
MFP_1416;128
MFP_314;129
MFP_621;130
fr_Ar_N;131
MFP_1511;132
MFP_1866;133
NumAtomStereoCenters;134
MFP_1232;135
MFP_1917;136
MFP_119;137
MFP_1480;138
MFP_1321;139
MFP_1817;140
MFP_1199;141
BCUT2D_MRHI;142
MinAbsEStateIndex;143
MFP_930;144
MFP_622;145
MFP_233;146
NumHAcceptors;147
BCUT2D_LOGPLOW;148
MFP_561;149
PEOE_VSA6;150
MFP_807;151
MFP_295;152
PEOE_VSA2;153
SlogP_VSA10;154
NumAliphaticHeterocycles;155
MFP_1535;156
MFP_576;157
EState_VSA4;158
MFP_1609;159
MFP_1754;160
MFP_1063;161
VSA_EState6;162
MFP_2009;163
MFP_1431;164
MFP_1440;165
MFP_606;166
NumSaturatedHeterocycles;167
NHOHCount;168
MFP_1683;169
MFP_708;170
SlogP_VSA7;171
MFP_1990;172
MFP_679;173
MFP_978;174
MFP_1722;175
NumHeteroatoms;176
fr_amide;177
RingCount;178
VSA_EState2;179
SlogP_VSA5;180
MFP_1287;181
MFP_1214;182
EState_VSA8;183
MFP_1451;184
MFP_2011;185
MFP_718;186
MFP_1028;187
MFP_1190;188
MFP_1750;189
MFP_996;190
MFP_319;191
NumAliphaticRings;192
MFP_837;193
MFP_13;194
MFP_1325;195
MFP_322;196
MFP_1216;197
MFP_29;198
MFP_1155;199
MFP_1714;200
