Scenario,Model,RMSE,R^2,R^2_adj,MAE,Transfer Efficiency
Samo Humani,LinearRegression,0.7796,0.8251,0.6409,0.5976,
Samo Humani,Ridge,0.7791,0.8252,0.6413,0.5972,
Samo Humani,Lasso,0.7682,0.8301,0.6513,0.5829,
Samo Humani,ElasticNet,0.7704,0.8292,0.6493,0.5877,
Samo Humani,RandomForest,0.5787,0.9036,0.8021,0.4361,
Samo Humani,GradientBoosting,0.6065,0.8941,0.7827,0.471,
Transfer Learning,LinearRegression,0.7813,0.8243,0.6393,0.5965,1.0022
Transfer Learning,Ridge,0.7811,0.8244,0.6395,0.5963,1.0025
Transfer Learning,Lasso,0.7878,0.8213,0.6332,0.594,1.0255
Transfer Learning,ElasticNet,0.7797,0.825,0.6408,0.5919,1.0121
Transfer Learning,RandomForest,0.624,0.8879,0.7699,0.4585,1.0783
Transfer Learning,GradientBoosting,0.7053,0.8568,0.7061,0.5564,1.163
Kombinovani dataset,LinearRegression,0.831,0.8012,0.5919,0.6309,
Kombinovani dataset,Ridge,0.831,0.8012,0.592,0.6309,
Kombinovani dataset,Lasso,0.8445,0.7947,0.5786,0.6432,
Kombinovani dataset,ElasticNet,0.8349,0.7993,0.5881,0.6336,
Kombinovani dataset,RandomForest,0.6251,0.8875,0.7691,0.4491,
Kombinovani dataset,GradientBoosting,0.6635,0.8733,0.7398,0.5127,
